level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	750	1061	-1	
2	1	1	0	0	0	59	76	226	40	-1	
3	1	1	1	0	0	59	76	226	40	-1	
4	1	1	1	1	0	59	76	226	40	-1	
5	1	1	1	1	1	59	76	226	40	90.724091	factura
2	1	2	0	0	0	54	397	643	6	-1	
3	1	2	1	0	0	54	397	643	6	-1	
4	1	2	1	1	0	54	397	643	6	-1	
5	1	2	1	1	1	54	397	643	6	95.000000	 
2	1	3	0	0	0	54	449	643	6	-1	
3	1	3	1	0	0	54	449	643	6	-1	
4	1	3	1	1	0	54	449	643	6	-1	
5	1	3	1	1	1	54	449	643	6	95.000000	 
2	1	4	0	0	0	54	483	643	6	-1	
3	1	4	1	0	0	54	483	643	6	-1	
4	1	4	1	1	0	54	483	643	6	-1	
5	1	4	1	1	1	54	483	643	6	95.000000	 
2	1	5	0	0	0	54	517	643	5	-1	
3	1	5	1	0	0	54	517	643	5	-1	
4	1	5	1	1	0	54	517	643	5	-1	
5	1	5	1	1	1	54	517	643	5	95.000000	 
2	1	6	0	0	0	53	399	3	155	-1	
3	1	6	1	0	0	53	399	3	155	-1	
4	1	6	1	1	0	53	399	3	155	-1	
5	1	6	1	1	1	53	399	3	155	95.000000	 
2	1	7	0	0	0	694	399	4	155	-1	
3	1	7	1	0	0	694	399	4	155	-1	
4	1	7	1	1	0	694	399	4	155	-1	
5	1	7	1	1	1	694	399	4	155	95.000000	 
2	1	8	0	0	0	54	551	643	5	-1	
3	1	8	1	0	0	54	551	643	5	-1	
4	1	8	1	1	0	54	551	643	5	-1	
5	1	8	1	1	1	54	551	643	5	95.000000	 
2	1	9	0	0	0	51	176	645	451	-1	
3	1	9	1	0	0	54	176	642	451	-1	
4	1	9	1	1	0	56	176	638	13	-1	
5	1	9	1	1	1	56	176	18	13	96.713158	DE
5	1	9	1	1	2	434	176	18	13	93.167473	N°
5	1	9	1	1	3	466	176	19	13	92.353287	DE
5	1	9	1	1	4	499	176	72	13	92.207397	FACTURA
5	1	9	1	1	5	655	179	39	10	45.913963	ES-001
4	1	9	1	2	0	55	201	641	16	-1	
5	1	9	1	2	1	55	205	25	12	96.415588	Rojo
5	1	9	1	2	2	85	205	24	10	96.779495	Polo
5	1	9	1	2	3	114	205	33	10	89.642181	Paella
5	1	9	1	2	4	152	205	16	10	90.622650	Inc.
5	1	9	1	2	5	520	201	51	14	96.444679	FECHA
5	1	9	1	2	6	633	205	63	10	56.547737	29/01/2019
4	1	9	1	3	0	51	219	645	29	-1	
5	1	9	1	3	1	51	219	56	29	0.000000	\Camotara
5	1	9	1	3	2	113	219	35	29	42.284058	Muctis
5	1	9	1	3	3	154	219	12	29	52.648521	22
5	1	9	1	3	4	445	227	18	13	93.650108	N°
5	1	9	1	3	5	477	227	19	13	93.092758	DE
5	1	9	1	3	6	509	227	62	13	91.928482	PEDIDO
5	1	9	1	3	7	638	230	58	10	90.355286	1730/2019
4	1	9	1	4	0	55	239	99	13	-1	
5	1	9	1	4	1	55	241	33	10	96.226051	37531
5	1	9	1	4	2	93	239	30	13	77.346298	Avila,
5	1	9	1	4	3	127	239	27	12	77.346298	Avila
4	1	9	1	5	0	393	253	303	13	-1	
5	1	9	1	5	1	393	253	51	13	93.252846	FECHA
5	1	9	1	5	2	455	253	116	13	91.104965	VENCIMIENTO
5	1	9	1	5	3	633	256	63	10	63.493992	29/01/2019
4	1	9	1	6	0	56	289	329	14	-1	
5	1	9	1	6	1	56	289	82	14	92.748039	FACTURAR
5	1	9	1	6	2	150	290	10	12	96.813309	A
5	1	9	1	6	3	302	289	61	13	96.158600	ENVIAR
5	1	9	1	6	4	374	289	11	13	96.158600	A
4	1	9	1	7	0	55	322	321	10	-1	
5	1	9	1	7	1	55	323	27	9	94.349640	Leda
5	1	9	1	7	2	86	322	44	10	95.119362	Villareal
5	1	9	1	7	3	301	323	27	9	65.474548	Leda
5	1	9	1	7	4	332	322	44	10	71.177666	Villareal
4	1	9	1	8	0	54	340	338	13	-1	
5	1	9	1	8	1	54	341	36	12	92.986214	Virgen
5	1	9	1	8	2	95	341	37	9	86.883835	Blanca
5	1	9	1	8	3	137	341	13	9	93.220680	63
5	1	9	1	8	4	300	340	40	10	88.614639	Corcas
5	1	9	1	8	5	344	341	31	12	91.523941	Bajas
5	1	9	1	8	6	379	341	13	9	96.510796	68
4	1	9	1	9	0	55	359	355	12	-1	
5	1	9	1	9	1	55	359	34	10	95.011581	08759
5	1	9	1	9	2	94	359	42	12	96.559364	Burgos,
5	1	9	1	9	3	141	359	39	12	85.807312	Burgos
